時間軸,コード,銘柄名,シグナル種別,シグナル名,継続,詳細
月足,7013,ＩＨＩ,売り,騰落率オーバーシュート (上方),2,5日MA乖離率 +26.2% — 過熱感（反落注意）
月足,7063,Ｂｉｒｄｍａｎ,売り,パーフェクトオーダー (弱気),1,短期<中期<長期、3本すべて下落中
月足,7203,トヨタ自動車,売り,RSI 買われすぎ反転,1,RSI(14)が66.5へ下落（70以上から反転）
月足,7203,トヨタ自動車,売り,騰落率オーバーシュート (上方),1,5日MA乖離率 +11.7% — 過熱感（反落注意）
月足,8001,伊藤忠商事,売り,騰落率オーバーシュート (上方),1,5日MA乖離率 +13.1% — 過熱感（反落注意）
月足,8058,三菱商事,売り,騰落率オーバーシュート (上方),1,5日MA乖離率 +27.4% — 過熱感（反落注意）
月足,8267,イオン,売り,ピンバー（反転・売り）,1,極めて長い上ヒゲ — 強力な売り圧力・天井シグナル
月足,8306,三菱ＵＦＪフィナンシャル・グループ,売り,騰落率オーバーシュート (上方),2,5日MA乖離率 +12.7% — 過熱感（反落注意）
月足,8316,三井住友フィナンシャルグループ,売り,騰落率オーバーシュート (上方),4,5日MA乖離率 +16.6% — 過熱感（反落注意）
月足,8604,野村ホールディングス,売り,騰落率オーバーシュート (上方),3,5日MA乖離率 +10.2% — 過熱感（反落注意）
月足,8750,第一生命ホールディングス,売り,騰落率オーバーシュート (上方),2,5日MA乖離率 +20.9% — 過熱感（反落注意）
月足,8918,ランド,売り,十字線（天井圏）,1,始値≒終値、長いヒゲ — upトレンドの転換を暗示
月足,9434,ソフトバンク,売り,MACD デッドクロス,1,MACD線がシグナル線を下抜け — 下落モメンタム
